title,role_family
Software Engineering Graduate,software engineer
Software Engineer,software engineer
Software Engineer,software engineer
Software Engineer,software engineer
Software Engineering Intern,software engineer
Software Engineer,software engineer
Software Engineer,software engineer
"Software Engineer, Platform - Sacramento, USA",software engineer
Software Engineer,software engineer
Application and SQL Developer,other
"Software Engineer, Platform - Elk Grove, USA",software engineer
Software Engineer - Python - Ubuntu Pro client - graduate level,software engineer
Full Stack Engineer (Core Scribd),full stack engineer
Software Engineer - App Stores,software engineer
AI/Software Engineering Intern,software engineer
Software Developer (Backend SaaS),backend engineer
Firmware Engineer Graduate,firmware engineer
Cloud Engineer Graduate,cloud engineer
Software Engineer,software engineer
Web Developer,web developer
Software Engineer - Solutions Engineering,software engineer
Backend Software Engineer (Python),software engineer
Application Developer,software engineer
"Web Frontend Engineer - JS, CSS, React, Flutter",frontend engineer
Full Stack Java Developer/Technical Lead,full stack engineer
Senior Full Stack Web Developer,full stack engineer
Java Developer,other
Sr. Full Stack Developer,full stack engineer
Cloud Engineer Intern,cloud engineer
Machine Learning Engineer,machine learning engineer
Machine Learning Engineer,machine learning engineer
Software Engineer - Python and K8s,software engineer
Senior Full Stack Engineer,full stack engineer
Software Engineer 2,software engineer
Technical Solutions Engineer,other
Firmware Engineer Intern,firmware engineer
Software Quality Automation Engineer,other
Senior Java Software Engineer,software engineer
Full Stack Engineer (Frontend focused),full stack engineer
Technical Solutions Engineer,other
"Python and Kubernetes Software Engineer - Data, AI/ML & Analytics",software engineer
"Software Engineer II, Fullstack - Slideshare Team",software engineer
Software Engineer (Python/Linux/Packaging),software engineer
Full Stack Engineer (AI + Backend Focus),full stack engineer
Software Engineer - Cloud Images,software engineer
Software Support Engineer,other
Technical Solutions Engineer,other
GPU Software Development Engineer,other
Software Engineer - Python/Golang - Kubernetes,software engineer
Electronic Systems Engineer (Entry-Level),other
Microservices Engineer,other
Data Engineer - REMOTE,data engineer
Cloud (PaaS) Application Developer,software engineer
"Distributed Systems Software Engineer, Python / Go",software engineer
AI Native Software Engineer,software engineer
Software Engineer - Senior Associate,software engineer
Staff Software Engineer-AI,software engineer
Linux Devices Software Engineer,software engineer
Python Software Engineer - Ubuntu Hardware Certification Team,software engineer
Software Engineer 1,software engineer
UTG - Software Engineer Internships - Summer 2026,software engineer
Software Engineer,software engineer
Full Stack Software Engineer,software engineer
UTG - Software Engineer Internships - Summer 2026,software engineer
Software Engineer,software engineer
Software Developer with React,other
Software Engineering Internship - Summer 2026,software engineer
Software Engineer,software engineer
Software Engineer,software engineer
Data Engineer,data engineer
Software Engineering Intern,software engineer
Software Engineer,software engineer
Software Engineer,software engineer
Software Engineer,software engineer
Full Stack Developer,full stack engineer
"Software Engineer, Platform - San Diego, USA",software engineer
Machine Learning Engineer 2,machine learning engineer
Software Engineer,software engineer
Internships in Computer Science or Software Engineering,software engineer
"Software Engineer, AI Software Core (Multiple levels)",software engineer
Software Engineer - (Multiple Levels),software engineer
"Machine Learning Engineer II, Search",machine learning engineer
Software Engineering Intern,software engineer
"Software Engineer, Platform - El Cajon, USA",software engineer
Full-Stack Engineer,full stack engineer
"Software Engineer, AI Software Tools (Multiple Levels)",software engineer
Computer Programmer,other
Associate Software Engineer,software engineer
Software Engineer,software engineer
Software Engineer,software engineer
Full Stack Developer I,full stack engineer
"Software Engineer, Mobile (iOS)",software engineer
"Software Engineer, Platform Engineering",software engineer
Embedded Software Engineer,software engineer
Product Software Engineer,software engineer
Senior Full-Stack Developer (San Diego-based),full stack engineer
Summer 2026 Full Stack Engineering Intern,full stack engineer
Software Engineer - App Stores,software engineer
Summer 2026 Backend Engineering Intern,backend engineer
Software Developer,other
Graphics Tools Programmer,other
Full Stack Engineer (Core Scribd),full stack engineer
Senior Full-Stack Developer (San Diego-based),full stack engineer
"Software Engineer, Infrastructure",software engineer
Software Engineer I - 041QE,software engineer
"New Grad 2026 - Technology, Software Development",other
Software Engineer,software engineer
Software Security Engineer (Multiple Levels Available),security engineer
Software Engineer 2,software engineer
Software Engineer,software engineer
UTG - Software Engineer Internships - Summer 2026,software engineer
Machine Learning & Artificial Intelligence Engineering Internship – Summer 2026,other
Software Engineer - Camera,software engineer
Software Engineer,software engineer
Software Engineer - Python - Ubuntu Pro client - graduate level,software engineer
Software Engineer,software engineer
Senior Software Engineer,software engineer
Full-Stack Cloud Engineer - Surgical Technology Platform,full stack engineer
Software Engineer (Mid-level),software engineer
Senior Frontend Developer,frontend engineer
Dotnet Developer,other
DevOps Engineer 1,devops engineer
Data and AI Solutions Engineer,other
Junior Systems Engineer (Revenue Operations Focus),other
Data & AI Solutions Engineer | Hybrid,other
Sr. Software Engineer,software engineer
Senior Software Engineer I - Java (Time Series Data),software engineer
System Modeling Engineering Intern,other
"Senior Software Engineer, Core Experiences - Sacramento, USA",software engineer
SOFTWARE QUALITY ASSURANCE SPECIALIST Hybrid,qa engineer
WebMethods Developer,other
Software Engineer,software engineer
"Software Engineer, Platform - Vallejo, USA",software engineer
WordPress and React Developer,other
"Software Engineer, iOS Core Product - Fairfield, USA",software engineer
Data Engineer,data engineer
Senior Systems Engineer,other
Data Engineer,data engineer
Senior Server Engineer - NBA 2K (REMOTE),other
Staff Systems Engineer,other
"Senior Software Engineer, Core Experiences - Fairfield, USA",software engineer
Summer 2026 Software Engineering Intern,software engineer
Data Recovery Engineer - Windows Platform,other
Principal Server Engineer - NBA 2K (REMOTE),other
Data Recovery Engineer - Macintosh and iOS Platforms,other
Data Engineer,data engineer
Intelisys: Sr. API Developer,other
"Senior Software Engineer, Core Experiences - Vallejo, USA",software engineer
Summer 2026 Embedded Software Engineering Intern,software engineer
Senior Firmware Engineer,firmware engineer
Software Engineer,software engineer
Cloud Engineer,cloud engineer
Test Engineer,qa engineer
Systems Engineer II,other
Senior System Engineer,other
Cloud Engineer - Intermediate,cloud engineer
Principal Graphics Engineer - NBA 2K,other
Senior Applied Scientist - NBA 2K,other
Staff Software Engineer,software engineer
Principal Software Developer,other
GMP Tester / Validation Engineer,other
Embedded Systems Engineer III,firmware engineer
Senior DevOps Engineer,devops engineer
Sr. Data Center Engineer- Cisco UCS X,other
"Tech Lead, Android Core Product - Fairfield, USA",other
Sr. Staff Engineer - Risk and Compliance Tech (Remote),other
Sr. Systems Engineer,other
Senior Data Warehouse ETL Developer,other
Flight Test Engineer III,qa engineer
Staff Systems Engineer,other
Sr. Staff Engineer - Risk and Compliance Tech (Remote),other
Principal Server Engineer - NBA 2K (REMOTE),other
"Tech Lead, Android Core Product - Vallejo, USA",other
IT Help Desk & Field Engineer,other
Sr. Staff Engineer - Risk and Compliance Tech (Remote),other
Principal Graphics Engineer - NBA 2K,other
Senior Graphics Engineer - NBA 2K,other
Principal Systems/Test Engineer - Energetics & Propulsion (Onsite),qa engineer
"Tech Lead, Android Core Product - Vacaville, USA",other
Senior Field Service Engineer,other
Junior Software Engineer (Remote),software engineer
Software Developer,other
Software Engineer Intern,software engineer
Front-End Developer,frontend engineer
Junior Software Engineer,software engineer
Software Engineer (Remote),software engineer
Junior Software Engineer,software engineer
Software Engineer,software engineer
Full Stack Developer,full stack engineer
Software Engineer,software engineer
Web Developer,web developer
Software Engineer,software engineer
